"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Tue Apr 04 18:36:56 +0000 2017",849329960011665400,"RT @JesseFFerguson: IMP TREND\n\nTrump bringing ""right kind of change"" or ""wrong kind of change""?\n\nNovember\n46% right\n33% wrong\n\nApril (N… ",148511586,"Paul Farmer, FAICP","wpaulfarmer","Chicago, USA",836,1360,"Wed May 26 22:13:46 +0000 2010","NULL","165788","http://pbs.twimg.com/profile_images/428179873283063808/XyT_56Vz_normal.jpeg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329960447856600,"RT @TomFitton: Becoming clear there is no Trump-Russia scandal, but there is yet another Obama administration abuse scandal.",2497286180,"ProudAmerican","1776BetsyRoss","USA",3654,4548,"Thu May 15 22:41:30 +0000 2014","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/519294448715321345/2CupFacH_normal.jpeg","NULL","NULL","NULL"
"Tue Apr 04 18:36:56 +0000 2017",849329959290253300,"RT @val_marie7: @CassieJHill @strummerriot @lblairhrc @magicdmw So must Trump! #NotMyPresident #Impeach45",831815773,"Deirdre Walsh","magicdmw","London",1718,2381,"Tue Sep 18 20:19:56 +0000 2012","London","C0DEED","http://pbs.twimg.com/profile_images/783741008278413312/5YlhEzyn_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:56 +0000 2017",849329959499911200,"RT @FoxNews: Soros-tied networks, foundations joined forces to create Trump 'resistance' fund https://t.co/F76P48k9qZ via… ",760619229003612200,"MamieB","MamieB58","NULL",407,396,"Tue Aug 02 23:32:10 +0000 2016","Eastern Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/792182037625077761/Bo5WURL9_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329960879886300,"RT @matthewjdowd: What is happening in Syria is a crime against humanity, and Putin is enabling Assad, while Trump is enabling Putin, &amp; GOP…",47225141,"ET","ET310","Moline, IL",92,641,"Mon Jun 15 01:27:19 +0000 2009","Central Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/714978202075185153/MYJMuIYQ_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329960447860700,"RT @JoyAnnReid: Your tax dollars subsidize this person's business travel. https://t.co/GagZJmULIm",738731929130938400,"Gale C Georgalas❄️","GaleCGeorgalas","New Jersey, USA",137,273,"Fri Jun 03 13:59:51 +0000 2016","NULL","F5F8FA","http://pbs.twimg.com/profile_images/789984782730100736/I3dDXxdk_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329960770826200,"RT @democracynow: Trump Praises Egyptian President el-Sisi: ""We Agree on So Many Things"" https://t.co/yve1Uo30nA https://t.co/ImD1bVhHj9",27021846,"sheri clarry","hitrainer","sunshine state",698,1710,"Fri Mar 27 15:06:32 +0000 2009","Quito","BADFCD","http://pbs.twimg.com/profile_images/822807621753339905/kOT4csHC_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329960905044000,"@Sassycatz @AltStubbyFinger @SopanDeb @POTUS Trump: safe zones for Syria and beef up military for ISIS. OBAMA: 400+ billion in cash to Iran",800514999122702300,"Alex Rowe","aroweinc","Little New York",74,118,"Mon Nov 21 01:43:43 +0000 2016","NULL","F5F8FA","http://pbs.twimg.com/profile_images/815992030472052741/Dck6YFJb_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329961123053600,"RT @Sargon_of_Akkad: Obama ran the worlds most advanced spy network that can access any device anywhere, but you think cutting ""cultural… ",468643682,"Cato Sapiens","TheSentinel93","Dalmacia, Europa, Tero, Sól",224,307,"Thu Jan 19 19:15:02 +0000 2012","Ljubljana","C0DEED","http://pbs.twimg.com/profile_images/825052832529252352/gwcM189b_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329961035075600,"@Zigmanfreud @MrJonCryer The only thing Trump has done is said all the things Americans want to hear, just like an… https://t.co/Mo9T6UNgDM",81067985,"jan","Jan_Luvs_2_Rock","UK",181,616,"Fri Oct 09 09:14:24 +0000 2009","London","EDECE9","http://pbs.twimg.com/profile_images/817447355423330304/XICM49fC_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329961118957600,"RT @thehill: Poll: Trump approval drops double digits https://t.co/YzFZPdoyRW https://t.co/ryD5CcBRSh",845744486449909800,"Ottorino Respighi","Otto_Respighi","NULL",242,564,"Sat Mar 25 21:09:33 +0000 2017","NULL","F5F8FA","http://pbs.twimg.com/profile_images/845757082502647808/scVJeEIa_normal.jpg","NULL","NULL","NULL"
"Tue Apr 04 18:36:57 +0000 2017",849329960678510600,"RT @mmpadellan: MEDIA: What are you DOING?\ntrump gave u the Susan Rice distraction bait, and you're RUNNING with it? This is bullshit.\n#Tue…",3077615801,"Don Collar","dacollar1","Michigan, USA",2148,2235,"Sat Mar 07 16:45:30 +0000 2015","America/New_York","C0DEED","http://pbs.twimg.com/profile_images/593833250021224448/p9M17LqG_normal.png","NULL","NULL","NULL"